row_id,section,section_slug,resource_type,marker,title,url,url_kind,domain,annotation,description,key_contribution,novelty,impact,signal,signal_strength,source_readme,source_line,source_url,date_added,collection,collection_slug,user_goal,lifecycle_stages,audience,loop_layer,scope_fit,evidence_class,evidence_tier,source_status,canonical_url,source_title,source_description,authors,publication_date,publication_year,publication_venue,publisher,doi,publication_note,primary_category,metadata_source,github_repo,github_stars,github_forks,github_license,github_created_at,github_updated_at,arxiv_id,audited_at
ale-0001,Concept Guides,concept-guides,Template,🧾,Working Definition,DEFINITION.md,local_path,,"Short definition, positioning, minimal loop test, and citation note.","Short definition, positioning, minimal loop test, and citation note.","Short definition, positioning, minimal loop test, and citation note.","Makes an otherwise informal practice concrete and reusable. Short definition, positioning, minimal loop test, and citation note.","Use Working Definition to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,328,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L328,,Learn,learn,Understand the field and its boundaries.,verification,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/DEFINITION.md,Working Definition,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0002,Concept Guides,concept-guides,Template,🧾,Loop Engineering Manifesto,MANIFESTO.md,local_path,,"Concise statement of the concept, commitments, non-goals, and success standard.","Concise statement of the concept, commitments, non-goals, and success standard.","Concise statement of the concept, commitments, non-goals, and success standard.","Makes an otherwise informal practice concrete and reusable. Concise statement of the concept, commitments, non-goals, and success standard.","Use Loop Engineering Manifesto to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,329,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L329,,Learn,learn,Understand the field and its boundaries.,objective,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/MANIFESTO.md,Loop Engineering Manifesto,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0003,Concept Guides,concept-guides,Template,🧾,Loop Engineering Taxonomy,TAXONOMY.md,local_path,,"Classification by trigger, intake, verification, state model, topology, and operating domain.","Classification by trigger, intake, verification, state model, topology, and operating domain.","Classification by trigger, intake, verification, state model, topology, and operating domain.","Makes an otherwise informal practice concrete and reusable. Classification by trigger, intake, verification, state model, topology, and operating domain.","Use Loop Engineering Taxonomy to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,330,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L330,,Learn,learn,Understand the field and its boundaries.,trigger;intake;verification;state,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/TAXONOMY.md,Loop Engineering Taxonomy,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0004,Concept Guides,concept-guides,Critique,⚠️,Loop Engineering Anti-Patterns,ANTI-PATTERNS.md,local_path,,"Common failure modes such as prompt loops with no contract, infinite retries, model self-approval, hidden state, and unsafe autonomy.","Common failure modes such as prompt loops with no contract, infinite retries, model self-approval, hidden state, and unsafe autonomy.","Common failure modes such as prompt loops with no contract, infinite retries, model self-approval, hidden state, and unsafe autonomy.","Makes an otherwise informal practice concrete and reusable. Common failure modes such as prompt loops with no contract, infinite retries, model self-approval, hidden state, and unsafe autonomy.","Use Loop Engineering Anti-Patterns to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,331,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L331,,Learn,learn,Understand the field and its boundaries.,state;budget;escalation,newcomer,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/ANTI-PATTERNS.md,Loop Engineering Anti-Patterns,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0005,Concept Guides,concept-guides,Template,🧾,Comparison Guide,COMPARISON.md,local_path,,"Distinguishes Loop Engineering from prompt engineering, context engineering, harness engineering, workflow automation, agent workflows, and evaluation loops.","Distinguishes Loop Engineering from prompt engineering, context engineering, harness engineering, workflow automation, agent workflows, and evaluation loops.","Distinguishes Loop Engineering from prompt engineering, context engineering, harness engineering, workflow automation, agent workflows, and evaluation loops.","Makes an otherwise informal practice concrete and reusable. Distinguishes Loop Engineering from prompt engineering, context engineering, harness engineering, workflow automation, agent workflows, and evaluation loops.","Use Comparison Guide to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,332,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L332,,Learn,learn,Understand the field and its boundaries.,context;verification,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/COMPARISON.md,Comparison Guide,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0006,Concept Guides,concept-guides,Template,🧾,Sourced Signals And Quotes,QUOTES.md,local_path,,Short sourced signals from linked public materials that anchor the emerging concept.,Short sourced signals from linked public materials that anchor the emerging concept.,Short sourced signals from linked public materials that anchor the emerging concept.,Makes an otherwise informal practice concrete and reusable. Short sourced signals from linked public materials that anchor the emerging concept.,"Use Sourced Signals And Quotes to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,333,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L333,,Learn,learn,Understand the field and its boundaries.,whole-loop,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/QUOTES.md,Sourced Signals And Quotes,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0007,Concept Guides,concept-guides,Template,🧾,Outreach Kit,meta/OUTREACH.md,local_path,,"Conservative messages for inviting corrections, sources, and real-world loop patterns.","Conservative messages for inviting corrections, sources, and real-world loop patterns.","Conservative messages for inviting corrections, sources, and real-world loop patterns.","Makes an otherwise informal practice concrete and reusable. Conservative messages for inviting corrections, sources, and real-world loop patterns.","Use Outreach Kit to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Repository file; inspect the linked schema, example, guide, or implementation.",medium,README.md,334,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L334,,Learn,learn,Understand the field and its boundaries.,whole-loop,newcomer;builder,cross-layer,direct,repository-native,A,local_ok,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/meta/OUTREACH.md,Outreach Kit,,,,2026,GitHub,GitHub,,,,repository,,,,,,,,2026-08-01T20:38:23+00:00
ale-0008,Start Here,start-here,Blog,📝,Loop Engineering by Addy Osmani,https://addyosmani.com/blog/loop-engineering/,external,addyosmani.com,"Addy Osmani's framing of loop engineering as the layer above manually prompting coding agents, with concrete primitives across Codex and Claude Code; also on [Substack](https://addyo.substack.com/p/loop-engineering) with the original discussion trail and Steinberger and Cherny quotations.","Addy Osmani's framing of loop engineering as the layer above manually prompting coding agents, with concrete primitives across Codex and Claude Code; also on [Substack](https://addyo.substack.com/p/loop-engineering) with the original discussion trail and Steinberger and Cherny quotations.","Addy Osmani's framing of loop engineering as the layer above manually prompting coding agents, with concrete primitives across Codex and Claude Code; also on [Substack](https://addyo.substack.com/p/loop-engineering) with the original discussion trail and Steinberger and Cherny quotations.","Captures the early community framing of Loop Engineering as repeated agent delegation rather than prompt craft. Addy Osmani's framing of loop engineering as the layer above manually prompting coding agents, with concrete primitives across Codex and Claude Code; also on [Substack](https://addyo.substack.com/p/loop-engineering) with the original discussion trail and Steinberger and Cherny quotations.","Use Loop Engineering by Addy Osmani to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Contextual source from addyosmani.com; useful for practice signals or boundary conditions, not independent validation.",contextual,README.md,415,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L415,,Learn,learn,Understand the field and its boundaries.,whole-loop,newcomer,cross-layer,direct,practitioner-analysis,B,ok,https://addyosmani.com/blog/loop-engineering/,AddyOsmani.com - Loop Engineering,You don't really need to be good at prompting anymore. The thing to get good at is the loop that does the prompting for you. It's five building blocks plus s...,Addy Osmani,,,,addyosmani.com,,,,html-meta,,,,,,,,2026-08-01T20:38:23+00:00
ale-0009,Start Here,start-here,Blog,📝,Peter Steinberger on designing loops,https://x.com/steipete/status/2063697162748260627,external,x.com,"The June 2026 post - ""you shouldn't be prompting coding agents anymore, you should be designing loops that prompt your agents"" - that catalyzed the current discussion.","The June 2026 post - ""you shouldn't be prompting coding agents anymore, you should be designing loops that prompt your agents"" - that catalyzed the current discussion.","The June 2026 post - ""you shouldn't be prompting coding agents anymore, you should be designing loops that prompt your agents"" - that catalyzed the current discussion.","Captures the early community framing of Loop Engineering as repeated agent delegation rather than prompt craft. The June 2026 post - ""you shouldn't be prompting coding agents anymore, you should be designing loops that prompt your agents"" - that catalyzed the current discussion.","Use Peter Steinberger on designing loops to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Contextual source from x.com; useful for practice signals or boundary conditions, not independent validation.",contextual,README.md,416,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L416,,Learn,learn,Understand the field and its boundaries.,whole-loop,newcomer,cross-layer,direct,practitioner-analysis,B,ok,https://x.com/steipete/status/2063697162748260627,"Peter Steinberger 🦞 on X: ""Here’s your monthly reminder that you shouldn’t be prompting coding agents anymore. You should be designing loops that prompt your agents."" / X",Here’s your monthly reminder that you shouldn’t be prompting coding agents anymore. You should be designing loops that prompt your agents.,,2026-06-07,2026,,X (formerly Twitter),,,,html-meta,,,,,,,,2026-08-01T20:38:23+00:00
ale-0010,Start Here,start-here,Blog,📝,Boris Cherny: five tips for running Opus autonomously for hours or days,https://x.com/bcherny/status/2063792263067754658,external,x.com,"The Claude Code creator's compact loop recipe: auto-mode permissions, dynamic workflows, `/goal` or `/loop`, the cloud runner, and end-to-end self-verification.","The Claude Code creator's compact loop recipe: auto-mode permissions, dynamic workflows, `/goal` or `/loop`, the cloud runner, and end-to-end self-verification.","The Claude Code creator's compact loop recipe: auto-mode permissions, dynamic workflows, `/goal` or `/loop`, the cloud runner, and end-to-end self-verification.","The agent workflow includes explicit self-checking or gated completion. The Claude Code creator's compact loop recipe: auto-mode permissions, dynamic workflows, `/goal` or `/loop`, the cloud runner, and end-to-end self-verification.","Use Boris Cherny: five tips for running Opus autonomously for hours or days to understand the evidence, vocabulary, and lineage behind recurring agent systems.","Contextual source from x.com; useful for practice signals or boundary conditions, not independent validation.",contextual,README.md,417,https://github.com/ChaoYue0307/awesome-loop-engineering/blob/main/README.md#L417,,Learn,learn,Understand the field and its boundaries.,objective;workspace;verification,newcomer,cross-layer,direct,practitioner-analysis,B,ok,https://x.com/bcherny/status/2063792263067754658,"Boris Cherny on X: ""Seeing a number of benchmarks showing Opus is the best model for long-running work. Five tips for running Opus autonomously for hours/days: 1. Use auto mode for permissions, so Claude doesn’t ask for approval 2. Use dynamic workflows, to have Claude orchestrate hundreds/thousands of agents to get a task done 3. Use /goal or /loop, to nudge Claude to keep going until it’s done 4. Use Claude Code in the cloud, so you can close your laptop (easiest way is the desktop or mobile app) 5. Make sure Claude has a way to self-verify its work end to end: Claude in Chrome browser extension for web, iOS/Android sim MCP for mobile, a way to start the full web server or service for backend work"" / X","Seeing a number of benchmarks showing Opus is the best model for long-running work. Five tips for running Opus autonomously for hours/days: 1. Use auto mode for permissions, so Claude doesn’t ask for approval 2. Use dynamic workflows, to have Claude orchestrate",,2026-06-08,2026,,X (formerly Twitter),,,,html-meta,,,,,,,,2026-08-01T20:38:23+00:00
