arxiv_id,status,publication_date,publication_year,publication_venue,publisher,doi,published_url,record_url,metadata_source
2210.03629,published,2023,2023,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://openreview.net/forum?id=WE_vluYUL-X,https://openreview.net/forum?id=WE_vluYUL-X,OpenReview proceedings record
2303.11366,published,2023,2023,Advances in Neural Information Processing Systems 36 (NeurIPS),Neural Information Processing Systems Foundation,10.52202/075280-0377,https://proceedings.neurips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html,https://doi.org/10.52202/075280-0377,NeurIPS proceedings and DOI records
2303.17651,published,2023,2023,Advances in Neural Information Processing Systems 36 (NeurIPS),Neural Information Processing Systems Foundation,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/hash/91edff07232fb1b55a505a9e9f6c0ff3-Abstract-Conference.html,NeurIPS proceedings record
2305.11738,published,2024,2024,International Conference on Learning Representations (ICLR),International Conference on Learning Representations,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/fef126561bbf9d4467dbb8d27334b8fe-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/hash/fef126561bbf9d4467dbb8d27334b8fe-Abstract-Conference.html,ICLR proceedings record
2305.10601,published,2023,2023,Advances in Neural Information Processing Systems 36 (NeurIPS),Neural Information Processing Systems Foundation,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/271db9922b8d1f4dd7aaef84ed5ac703-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2023/hash/271db9922b8d1f4dd7aaef84ed5ac703-Abstract.html,NeurIPS proceedings record
2308.09687,published,2024-03-24,2024,Proceedings of the AAAI Conference on Artificial Intelligence 38 (AAAI),Association for the Advancement of Artificial Intelligence (AAAI),10.1609/aaai.v38i16.29720,https://ojs.aaai.org/index.php/AAAI/article/view/29720,https://doi.org/10.1609/aaai.v38i16.29720,AAAI proceedings and DOI records
2310.04406,published,2024,2024,Proceedings of the 41st International Conference on Machine Learning (ICML),PMLR,,https://proceedings.mlr.press/v235/zhou24r.html,https://proceedings.mlr.press/v235/zhou24r.html,PMLR proceedings record
2305.16291,published,2024,2024,Transactions on Machine Learning Research (TMLR),OpenReview,,https://openreview.net/forum?id=ehfRiF0R3a,https://openreview.net/forum?id=ehfRiF0R3a,TMLR OpenReview record
2304.03442,published,2023-10-29,2023,Proceedings of the 36th ACM Symposium on User Interface Software and Technology (UIST),Association for Computing Machinery,10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,ACM DOI record
2503.14499,published,2025,2025,Advances in Neural Information Processing Systems 38 (NeurIPS),Neural Information Processing Systems Foundation,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/85069585133c4c168c865e65d72e9775-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/hash/85069585133c4c168c865e65d72e9775-Abstract-Conference.html,NeurIPS proceedings record
2607.07397,published,2026-03,2026,IEEE Data Engineering Bulletin 50(1),IEEE,,http://sites.computer.org/debull/A26mar/A26MAR-CD.pdf#page=7,http://sites.computer.org/debull/A26mar/A26MAR-CD.pdf#page=7,IEEE Data Engineering Bulletin record
2405.15793,published,2024,2024,Advances in Neural Information Processing Systems 37 (NeurIPS),Neural Information Processing Systems Foundation,10.52202/079017-1601,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html,https://doi.org/10.52202/079017-1601,NeurIPS proceedings and DOI records
